,county,POP,DENSITY,year,state,state_name,county_name
0,019,1047279,113.97478676000000,2019,04,Arizona,Pima County
1,007,54018,11.35309891500000,2019,04,Arizona,Gila County
2,003,125922,20.27811514400000,2019,04,Arizona,Cochise County
3,001,71887,6.41977244030000,2019,04,Arizona,Apache County
4,027,213787,38.77280214200000,2019,04,Arizona,Yuma County
5,017,110924,11.14808127400000,2019,04,Arizona,Navajo County
6,013,4485414,487.50954904000000,2019,04,Arizona,Maricopa County
7,009,38837,8.40286316820000,2019,04,Arizona,Graham County
8,023,46498,37.61259939200000,2019,04,Arizona,Santa Cruz County
9,012,21108,4.69446648860000,2019,04,Arizona,La Paz County
10,015,212181,15.91533295700000,2019,04,Arizona,Mohave County
11,005,143476,7.70680924550000,2019,04,Arizona,Coconino County
12,025,235099,28.94203510300000,2019,04,Arizona,Yavapai County
13,011,9498,5.15595627040000,2019,04,Arizona,Greenlee County
14,021,462789,86.24393453400000,2019,04,Arizona,Pinal County
15,001,71818,6.413768529,2018,04,Arizona,Apache County
16,003,126770,20.56427823,2018,04,Arizona,Cochise County
17,005,142854,7.6726192992,2018,04,Arizona,Coconino County
18,007,53889,11.325986655,2018,04,Arizona,Gila County
19,009,38072,8.2358796196,2018,04,Arizona,Graham County
20,011,9483,5.1482697863,2018,04,Arizona,Greenlee County
21,012,21098,4.6888309769,2018,04,Arizona,La Paz County
22,013,4410824,479.4764304,2018,04,Arizona,Maricopa County
23,015,209550,15.742539574,2018,04,Arizona,Mohave County
24,017,110445,11.100123355,2018,04,Arizona,Navajo County
25,019,1039073,113.09979314,2018,04,Arizona,Pima County
26,021,447138,83.330493702,2018,04,Arizona,Pinal County
27,023,46511,37.602208146,2018,04,Arizona,Santa Cruz County
28,025,231993,28.558217746,2018,04,Arizona,Yavapai County
29,027,212128,38.470979394,2018,04,Arizona,Yuma County
30,025,228168,28.087362232,2017,04,Arizona,Yavapai County
31,027,207534,37.637460343,2017,04,Arizona,Yuma County
32,001,71606,6.3948404926,2017,04,Arizona,Apache County
33,003,124756,20.23757868,2017,04,Arizona,Cochise County
34,005,140776,7.5610049455,2017,04,Arizona,Coconino County
35,007,53501,11.244445494,2017,04,Arizona,Gila County
36,009,37466,8.1047594876,2017,04,Arizona,Graham County
37,011,9455,5.1330687334,2017,04,Arizona,Greenlee County
38,012,20601,4.5783792522,2017,04,Arizona,La Paz County
39,013,4307033,468.19534044,2017,04,Arizona,Maricopa County
40,015,207200,15.565994747,2017,04,Arizona,Mohave County
41,017,108956,10.950473436,2017,04,Arizona,Navajo County
42,019,1022769,111.32519191,2017,04,Arizona,Pima County
43,021,430237,80.180678774,2017,04,Arizona,Pinal County
44,023,46212,37.360478982,2017,04,Arizona,Santa Cruz County
45,015,205249,15.419396782,2016,04,Arizona,Mohave County
46,017,110026,11.058012308,2016,04,Arizona,Navajo County
47,019,1016206,110.61089379,2016,04,Arizona,Pima County
48,021,418540,78.000714605,2016,04,Arizona,Pinal County
49,023,45985,37.176958928,2016,04,Arizona,Santa Cruz County
50,025,225562,27.766565036,2016,04,Arizona,Yavapai County
51,027,205631,37.292340609,2016,04,Arizona,Yuma County
52,001,73112,6.5293352302,2016,04,Arizona,Apache County
53,003,125770,20.402054832,2016,04,Arizona,Cochise County
54,005,140908,7.5681044918,2016,04,Arizona,Coconino County
55,007,53556,11.256006347,2016,04,Arizona,Gila County
56,009,37599,8.1335497542,2016,04,Arizona,Graham County
57,011,9613,5.2188460687,2016,04,Arizona,Greenlee County
58,012,20317,4.5152629105,2016,04,Arizona,La Paz County
59,013,4242997,461.23584331,2016,04,Arizona,Maricopa County
60,001,71474,6.3829391224,2015,04,Arizona,Apache County
61,003,126427,20.5050270642,2015,04,Arizona,Cochise County
62,005,139097,7.4708422821,2015,04,Arizona,Coconino County
63,007,53159,11.1726615909,2015,04,Arizona,Gila County
64,009,37666,8.1483463615,2015,04,Arizona,Graham County
65,011,9529,5.1700234656,2015,04,Arizona,Greenlee County
66,012,20152,4.4785854747,2015,04,Arizona,La Paz County
67,013,4167947,453.0593539848,2015,04,Arizona,Maricopa County
68,015,204737,15.3808667473,2015,04,Arizona,Mohave County
69,017,108277,10.8822364428,2015,04,Arizona,Navajo County
70,019,1010025,109.9401888692,2015,04,Arizona,Pima County
71,021,406584,75.7751743337,2015,04,Arizona,Pinal County
72,023,46461,37.5620184458,2015,04,Arizona,Santa Cruz County
73,025,222255,27.3593141396,2015,04,Arizona,Yavapai County
74,027,204275,37.0466139245,2015,04,Arizona,Yuma County
